QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
1fe32f7d,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"In the given equation, is a positive integer. The equation has no real solution. What is the greatest possible value of ?"
1fe778dc,ALGEBRA,Linear Equations 2 Variables,,,A line in theÃ‚ xy-plane has a slope ofÃ‚ and passes through the pointÃ‚ . Which equation represents this line?
20291f47,ADV_MATH,Equivalent Expressions,,BB10 UPPER,Which expression is equivalent toÃ‚ ?
203774bc,ADV_MATH,Nonlinear Functions,,,"The product of two positive integers is . If the first integer is greater than twice the second integer, what is the smaller of the two integers?"
2060533,ADV_MATH,Nonlinear Functions,,BB6 UPPER,"The table shows three values of and their corresponding values of , where and is a linear function. What is the y-intercept of the graph of in the xy-plane?"
20722644,ADV_MATH,Nonlinear Functions,,,The function is defined by . What is the value of ?
20845d36,PSDA,Percentages,,,The number is less than the positive number . The number is greater than . The number is how many times ?
20b69297,PSDA,Rates & Proportions,,,"Anita created a batch of green paint by mixing 2Ã‚ ounces of blue paint with 3 ounces of yellow paint. She must mix a second batch using the same ratio of blue and yellow paint as the first batch. If she uses 5Ã‚ ounces of blue paint for the second batch, how much yellow paint should Anita use?"
2266984b,GEOM_TRIG,Circles,,,The equation above defines a circle in the xy-plane. What are the coordinates of the center of the circle?
22fd3e1f,ADV_MATH,Equivalent Expressions,,,"Which of the following expressions is equivalent to , for Ã‚ ?"
23c5fcce,GEOM_TRIG,Circles,,,The circle above with center O has a circumference of 36. What is the length of minor arc ?
23dedddd,ALGEBRA,Linear Functions,,,"In the linear function , and . Which equation defines ?"
24016dee,ADV_MATH,Equivalent Expressions,,BB5 MEDIUM,Which expression is equivalent to ?
244ff6c4,GEOM_TRIG,Circles,,BB5 MEDIUM,What is the value ofÃ‚ ?
24854644,ALGEBRA,Linear Equations 2 Variables,,BB9 LOWER,What is the equation of the line that passes through the point and is parallel to the graph of in the xy- plane?
249d3f80,GEOM_TRIG,Circles,,,"Point is the center of a circle. The measure of arc on this circle is . What is the measure, in degrees, of its associated angle ?"
24a1e6a7,PSDA,Data 2 Variable,,BB10 LOWER,"The scatterplot shows the relationship between two variables, and . A line of best fit is also shown. Which of the following is closest to the slope of this line of best fit?"
24ad9dcb,PSDA,Rates & Proportions,901D Lower,,"The weight of an object on Venus is approximately of its weight on Earth. The weight of an object onÃ‚ Jupiter is approximately of its weight on Earth. If an object weighs 100 pounds on Earth, approximately how many more pounds does it weighÃ‚ on Jupiter than it weighs on Venus?"
24cec8d1,GEOM_TRIG,Circles,902D Medium,BB9 UPPER,"A circle has center , and points and lie on the circle. In triangle , the measure of is . What is the measure of , in degrees? (Disregard the degree symbol when entering your answer.)"
252a3b3a,ADV_MATH,Nonlinear Functions,,,Which of the following could be the equation of the graph shown in the xy-plane?
2554b413,ALGEBRA,Linear Equations 2 Variables,,,"In the xy-plane, a line has a slope of 6 and passes through the point . Which of the following is an equation of this line?"
255996a6,ALGEBRA,Linear Functions,1000D Lower,,"In the equation above, T represents BrittanyÃ¢â‚¬â„¢s total take-home pay, in dollars, for her first week of work, where h represents the number of hours she worked that week and 1,000 represents a sign-on bonus. If BrittanyÃ¢â‚¬â„¢s total take-home pay was $1,576, for how many hours was Brittany paid for her first week of work?"
25da87f8,GEOM_TRIG,Right Angle Trigonometry,901D Upper,,"A triangle with angle measures 30Ã‚Â°, 60Ã‚Â°, and 90Ã‚Â° has a perimeter of . What is the length of the longest side of the triangle?"
25e1cfed,ALGEBRA,Linear Equations 1 Variable,,,How many solutions does the equation have?
25faa756,PSDA,Percentages,,,The number is greater than the positive number . The number is less than . The number is how many times ?
263f9937,ADV_MATH,Nonlinear Functions,,,"Growth of a Culture of Bacteria Day Number of bacteria per milliliter at end of day 1 2 3 A culture of bacteria is growing at an exponential rate, as shown in the table above. At this rate, on which day would the number of bacteria per milliliter reach ?"
265f2a53,ALGEBRA,Linear Equations 2 Variables,901D Lower,,"When line is graphed in the xy-plane, it has an x-intercept of and a y-intercept of . What is the slope of line ?"
2683b5db,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",1000D Medium,,"In a city, the property tax T, in dollars, is calculated using the formula above, where P is the value of the property, in dollars. Which of the following expresses the value of the property in terms of the property tax?"
26eb61c1,ADV_MATH,Equivalent Expressions,902D Medium,,Which expression is equivalent to ?
26f5269a,ADV_MATH,Nonlinear Functions,,,TheÃ‚ y-intercept of the graph shown isÃ‚ . What is the value of ?
2704399f,ALGEBRA,Systems of Linear Equations,902D Medium,,Which of the following systems of equations has the same solution as the system of equations graphed above?
270cf326,ADV_MATH,Nonlinear Functions,,,Which of the following functions has(have) a minimum value at ?
27198699,ALGEBRA,Linear Functions,,,"As part of a science project on evaporation, Amaya measured the height of a liquid in a container over a period of time. The function gives the estimated height, in centimeters (cm), of the liquid in the container days after the start of the project. Which of the following is the best interpretation of in this context?"
271f7e3f,ALGEBRA,Linear Functions,,,"For the function f defined above, what is the value of ?"
271ffad7,ADV_MATH,Nonlinear Functions,,,"A quadratic function models a projectile's height, in meters, above the ground in terms of the time, in seconds, after it was launched. The model estimates that the projectile was launched from an initial height of meters above the ground and reached a maximum height of meters above the ground seconds after the launch. How many seconds after the launch does the model estimate that the projectile will return to a height of meters?"
273b7f37,PSDA,Percentages,,,"Isabel grows potatoes in her garden. This year, she harvested potatoes and savedÃ‚ of them to plant next year. How many of the harvested potatoes did Isabel save to plant next year?"
27f5fff3,ALGEBRA,Systems of Linear Equations,,,"If a new graph of three linear equations is created using the system of equations shown and the equation , how many solutions will the resulting system of three equations have?"
281a4f3b,ADV_MATH,Nonlinear Functions,901D Lower,,"A certain college had 3,000 students enrolled in 2015. The college predicts that after 2015, the number of students enrolled each year will be 2%Ã‚ less than the number of students enrolled the year before. Which of the following functions models the relationship between the number of students enrolled, , and the number of years after 2015, xÃ‚ ?"
2875ba81,ALGEBRA,Systems of Linear Equations,,,The solution to the given system of equations is . What is the value of y?
28c2253f,ALGEBRA,Linear Equations 2 Variables,,,"Characteristics for Rock Types Rock type Weight per volume (lb/ft ) Cost per pound Basalt 180 $0.18 Granite 165 $0.09 Limestone 120 $0.03 Sandstone 135 $0.22 A city is planning to build a rock retaining wall, a monument, and a garden in a park. The table above shows four rock types that will be considered for use in the project. Also shown for each rock type is its weight per volume, in pounds per cubic foot (lb/ft ), and the cost per pound, in dollars. Only basalt, granite, and limestone will be used in the garden. The rocks in the garden will have a total weight of 1,000 pounds. If 330 pounds of granite is used, which of the following equations could show the relationship between the amounts, x and y, in ft , for each of the other rock types used?"
28c6bd8c,PSDA,Percentages,,,"The table above shows a summary of 1,200 responses to a survey question. Based on the table, how many of those surveyed get most of their medical information from either a doctor or the Internet?"
2905ded0,PSDA,Probability,,BB8 LOWER,"Live east of the river Live west of the river Total Less than years old At least years old Total The table summarizes members of a local organization by age and whether they live east or west of the river. If a member of the organization is selected at random, what is the probability that the selected member is at least years old?"
2937ef4f,ALGEBRA,Linear Equations 1 Variable,,,"Hector used a tool called an auger to remove corn from a storageÃ‚ bin at a constant rate. The bin contained 24,000Ã‚ bushels of corn when Hector began to use theÃ‚ auger. After 5Ã‚ hours of using the auger, 19,350Ã‚ bushels of corn remained in the bin. If the auger continues to remove corn at this rate, what is the total number of hours Hector will have been using the auger when 12,840Ã‚ bushels of corn remain in theÃ‚ bin?"
294db8ec,ADV_MATH,Equivalent Expressions,,,Which of the following is equivalent to ?
295a41f0,ALGEBRA,Linear Functions,,,The graph of is shown. Which equation defines the linear function ?
2992ac30,ADV_MATH,Nonlinear Functions,,,"The function models the population, in thousands, of a certain city years afterÃ‚ . According to the model, the population is predicted to increase byÃ‚ every months. What is the value of ?"
29c177e6,PSDA,Percentages,,,What isÃ‚ of ?
29e9b28c,GEOM_TRIG,Area & Volume,,,"The triangle shown has a perimeter of units. If units and units, what is the value of , in units?"
